Name,Designation,Rating,Departments,Availability,Experience,Fees,Bio,Awards,Hospital,Education
Dr. Ngozi J Efobi,Consultant,NA,Physiatrist,NA,22 Years Of Experience,NA,"Dr. Ngozi J Efobi is a renowned Physiatrist in Martinsburg and currently practices at Martinsburg Veterans Affairs Medical Center, Martinsburg. For the past 22 years, Dr. Ngozi J Efobi has worked as a PMR Physician and gained proficient skills and knowledge in the se...",NA,NA,
Dr. Johnathon Berry,Consultant,NA,Emergency Doctor,NA,18 Years Of Experience,NA,"Dr. Johnathon Berry is a renowned Emergency Doctor in Rapid City and currently practices at Rapid City Regional Hospital, Rapid City. For the past 18 years, Dr. Johnathon Berry has worked as a Emergency Specialist and gained proficient skills and knowledge in the seg...",NA,NA,
डॉ. दनीनेश लाड,Consultant,NA,हड्डी का डॉक्टर,NA,11 वर्षों का अनुभव,NA,"डॉ. दनीनेश लाड मुंबई में एक प्रसिद्ध हड्डी का डॉक्टर हैं और वर्तमान में सर एचएन रिलायंस फाउंडेशन अस्पताल और अनुसंधान केंद्र, मुंबई में अभ्यास करते हैं। पिछले 11 वर्षों से, डॉ. दनीनेश लाड ने एक आर्थोपेडिक डॉक्टर के रूप में काम किया है और क्षेत्र में कुशल कौशल और ज्ञान...",NA,"सर एचएन रिलायंस फाउंडेशन अस्पताल और अनुसंधान केंद्र, मुंबई",
Dr. Vicki C Baker,Consultant,NA,Oncologist,NA,22 Years Of Experience,NA,"Dr. Vicki C Baker is a renowned Oncologist in Tulsa and currently practices at Ascension St. John Medical Center, Tulsa. For the past 22 years, Dr. Vicki C Baker has worked as a Medical Oncologist and gained proficient skills and knowledge in the segments.",NA,NA,
Dr. David V Chand,Consultant,NA,Infectious Disease Specialist,NA,22 Years Of Experience,NA,"Dr. David V Chand is a renowned Infectious Disease Specialist in Akron and currently practices at Akron Children's Hospital, Akron. For the past 22 years, Dr. David V Chand has worked as a Infectious Disease Physician and gained proficient skills and knowledge in the...",NA,NA,
डॉ. एचएल मंजुनाथ शस्ट्री,"MBBS, डीएनबी - जनरल सर्जरी",NA,सार्विक शल्य चिकित्सक,NA,30 वर्षों का अनुभव,NA,"डॉ. एचएल मंजुनाथ शस्ट्री बैंगलोर में एक प्रसिद्ध सार्विक शल्य चिकित्सक हैं और वर्तमान में मणिपाल अस्पताल, मलश्वरम में अभ्यास करते हैं। पिछले 30 वर्षों से, डॉ. एचएल मंजुनाथ शस्ट्री ने एक शीर्ष सर्जन के रूप में काम किया है और क्षेत्र में कुशल कौशल और ज्ञान प्राप्त किया...",NA,"मणिपाल अस्पताल, मलश्वरम","MBBS - 
                , 1986,डीएनबी - जनरल सर्जरी - सरकारी मेडिकल कॉलेज, मैसूर
                , 1993"
Dr. HL Manjunath Shastry,"MBBS, DNB - General Surgery",NA,General Surgeon,NA,30 Years Of Experience,₹ 700,"Dr. HL Manjunath Shastry is a General Surgeon and currently working at Manipal Hospital, Malleshwaram",NA,"Manipal Hospital, Malleshwaram, Bangalore","MBBS - Mangalore University, Karnataka
                , 1986,DNB - General Surgery - Government Medical College, Mysore
                , 1993"
Dr. Dnyanesh Lad,"MBBS, DNB - Orthopedics, Fellowship - Adult Joint Reconstruction","Rate the information on this page •
	 Average Rating 4.18",Orthopedist,NA,11 Years Of Experience,₹ 2000,"Dr. Dnyanesh Lad is a Orthopedic Doctor and currently working at Sir HN Reliance Foundation Hospital and Research Centre, Mumbai",NA,"Sir HN Reliance Foundation Hospital and Research Centre, Mumbai","MBBS -,DNB - Orthopedics - National Board of Examinations, New Delhi,Fellowship - Adult Joint Reconstruction - PD Hinduja National Hospital, Mumbai,Fellowship - Traumatology - Medical Trust Hospital, M.G Road, Kochi, Kerala,Fellowship - Arthroscopy, Sports Medicine and Cartilage Repair - OASI Bioresearch Foundation. Milan, Italy,Fellowship - Arthroplasty - Deenanath Mangeshkar Hopsital, Erandawne, Pune,Member - Bombay Orthopaedic Society,Member - Kerala Orthopaedic Association,Member - AO Trauma,Member - Indian Society of Hip and Knee Surgeons,Member - Indian Orthopaedic Association,Member - Mumbai D Ward Medical Association,Member - International Society of Arthroscopy, Knee Surgery and Orthopaedic Sports Medicine"
Dr. Suzan Bilgesu,Consultant,NA,Internal Medicine Specialist,NA,8 Years Of Experience,NA,"Dr. Suzan Bilgesu is a renowned Internal Medicine Specialist in Detroit and currently practices at Ascension St. John Hospital, Detroit. For the past 8 years, Dr. Suzan Bilgesu has worked as a General Physicians and gained proficient skills and knowledge in the segme...",NA,NA,
Dr. Daniel J Abood,Consultant,NA,Internal Medicine Specialist,NA,22 Years Of Experience,NA,"Dr. Daniel J Abood is a renowned Internal Medicine Specialist in Cleveland and currently practices at Louis Stokes Cleveland Veterans Affairs Medical Center, Cleveland. For the past 22 years, Dr. Daniel J Abood has worked as a General Physicians and gained proficient...",NA,NA,
